iter	Passed	Remaining
270	2128	5724
271	2131	5704
272	2135	5686
273	2138	5666
274	2142	5647
275	2145	5628
276	2149	5609
277	2153	5593
278	2157	5575
279	2161	5558
280	2165	5540
281	2168	5522
282	2172	5503
283	2175	5484
284	2178	5465
285	2182	5449
286	2186	5431
287	2190	5414
288	2193	5396
289	2198	5382
290	2202	5365
291	2207	5352
292	2213	5340
293	2216	5323
294	2220	5306
295	2223	5289
296	2227	5272
297	2230	5254
298	2233	5236
299	2237	5220
300	2240	5204
301	2244	5187
302	2248	5172
303	2252	5156
304	2256	5141
305	2259	5124
306	2263	5108
307	2266	5092
308	2270	5076
309	2273	5060
310	2276	5044
311	2280	5028
312	2283	5012
313	2286	4995
314	2290	4980
315	2293	4965
316	2297	4949
317	2300	4934
318	2304	4918
319	2307	4903
320	2311	4888
321	2314	4872
322	2317	4858
323	2321	4843
324	2324	4828
325	2328	4813
326	2331	4798
327	2334	4783
328	2338	4769
329	2341	4754
330	2345	4739
331	2348	4725
332	2351	4710
333	2355	4696
334	2358	4681
335	2361	4667
336	2365	4653
337	2369	4640
338	2372	4626
339	2376	4612
340	2379	4598
341	2383	4585
342	2386	4571
343	2390	4557
344	2393	4543
345	2396	4530
346	2400	4516
347	2403	4503
348	2407	4490
349	2411	4478
350	2414	4464
351	2417	4450
352	2420	4437
353	2424	4424
354	2427	4411
355	2430	4397
356	2434	4385
357	2438	4372
358	2441	4359
359	2445	4346
360	2448	4333
361	2452	4321
362	2455	4308
363	2459	4296
364	2462	4283
365	2467	4273
366	2470	4261
367	2474	4248
368	2477	4236
369	2481	4225
370	2485	4213
371	2488	4200
372	2491	4188
373	2495	4177
374	2498	4164
375	2501	4152
376	2505	4140
377	2508	4128
378	2512	4116
379	2515	4103
380	2518	4092
381	2522	4080
382	2525	4068
383	2529	4057
384	2532	4045
385	2536	4035
386	2540	4024
387	2544	4013
388	2547	4001
389	2550	3989
390	2554	3978
391	2558	3967
392	2561	3956
393	2564	3945
394	2568	3934
395	2572	3923
396	2575	3911
397	2578	3900
398	2583	3891
399	2586	3880
400	2590	3868
401	2593	3858
402	2597	3847
403	2600	3836
404	2604	3826
405	2607	3815
406	2612	3806
407	2616	3796
408	2620	3785
409	2623	3775
410	2626	3764
411	2630	3753
412	2633	3742
413	2637	3733
414	2641	3723
415	2644	3712
416	2647	3701
417	2651	3691
418	2654	3681
419	2658	3671
420	2661	3660
421	2665	3651
422	2669	3641
423	2672	3630
424	2675	3620
425	2679	3610
426	2682	3600
427	2686	3589
428	2689	3579
429	2693	3570
430	2696	3560
431	2700	3550
432	2703	3540
433	2707	3530
434	2710	3520
435	2714	3510
436	2717	3500
437	2720	3491
438	2724	3481
439	2727	3471
440	2730	3461
441	2734	3451
442	2737	3442
443	2741	3432
444	2744	3422
445	2747	3413
446	2751	3404
447	2755	3394
448	2758	3385
449	2761	3375
450	2765	3365
451	2768	3356
452	2771	3346
453	2774	3336
454	2778	3327
455	2781	3318
456	2784	3308
457	2788	3299
458	2792	3291
459	2796	3282
460	2799	3273
461	2802	3264
462	2806	3255
463	2810	3246
464	2813	3236
465	2816	3227
466	2819	3218
467	2824	3210
468	2827	3201
469	2830	3192
470	2834	3183
471	2837	3174
472	2840	3164
473	2843	3155
474	2847	3146
475	2850	3138
476	2854	3129
477	2857	3120
478	2861	3111
479	2864	3103
480	2867	3094
481	2871	3085
482	2874	3076
483	2878	3068
484	2881	3059
485	2885	3051
486	2888	3042
487	2891	3034
488	2895	3025
489	2899	3017
490	2902	3008
491	2906	3000
492	2910	2993
493	2915	2985
494	2918	2977
495	2922	2969
496	2925	2961
497	2929	2952
498	2932	2943
499	2935	2935
500	2939	2927
501	2942	2918
502	2945	2910
503	2948	2902
504	2952	2894
505	2956	2885
506	2959	2877
507	2962	2869
508	2965	2861
509	2969	2853
510	2973	2845
511	2976	2837
512	2980	2829
513	2984	2821
514	2987	2813
515	2991	2805
516	2994	2797
517	3004	2795
518	3011	2791
519	3016	2784
520	3020	2777
521	3025	2770
522	3029	2762
523	3033	2755
524	3037	2747
525	3040	2739
526	3043	2732
527	3047	2724
528	3051	2717
529	3060	2714
530	3069	2710
531	3075	2705
532	3081	2699
533	3086	2693
534	3090	2686
535	3095	2679
536	3099	2672
537	3102	2664
538	3106	2656
539	3110	2649
540	3113	2641
541	3116	2633
542	3120	2626
543	3123	2618
544	3127	2610
545	3130	2603
546	3134	2595
547	3137	2588
548	3140	2580
549	3144	2572
550	3147	2564
551	3151	2557
552	3154	2549
553	3157	2542
554	3161	2535
555	3165	2527
556	3168	2520
557	3171	2512
558	3175	2505
559	3179	2497
560	3182	2490
561	3185	2482
562	3189	2475
563	3192	2468
564	3196	2460
565	3201	2455
566	3206	2449
567	3211	2442
568	3214	2435
569	3218	2428
570	3222	2420
571	3225	2413
572	3229	2406
573	3234	2400
574	3237	2392
575	3241	2385
576	3245	2379
577	3249	2372
578	3252	2364
579	3255	2357
580	3259	2350
581	3263	2343
582	3266	2336
583	3270	2329
584	3273	2322
585	3279	2316
586	3282	2309
587	3286	2302
588	3289	2295
589	3294	2289
590	3297	2282
591	3301	2275
592	3304	2268
593	3308	2261
594	3311	2254
595	3317	2248
596	3320	2241
597	3324	2234
598	3327	2227
599	3330	2220
600	3334	2213
601	3337	2206
602	3349	2205
603	3361	2203
604	3371	2200
605	3377	2195
606	3381	2189
607	3385	2182
608	3389	2176
609	3393	2169
610	3398	2163
611	3402	2157
612	3406	2150
613	3409	2143
614	3412	2136
615	3416	2129
616	3420	2123
617	3423	2116
618	3427	2109
619	3432	2104
620	3436	2097
621	3440	2090
622	3444	2084
623	3447	2077
624	3452	2071
625	3455	2064
626	3459	2057
627	3462	2051
628	3465	2044
629	3468	2037
630	3471	2030
631	3475	2023
632	3478	2016
633	3481	2010
634	3484	2003
635	3488	1996
636	3491	1989
637	3495	1983
638	3498	1976
639	3502	1969
640	3505	1963
641	3509	1956
642	3512	1950
643	3516	1943
644	3519	1937
645	3523	1930
646	3527	1924
647	3530	1917
648	3533	1911
649	3537	1904
650	3542	1899
651	3545	1892
652	3549	1885
653	3552	1879
654	3557	1873
655	3560	1867
656	3563	1860
657	3566	1853
658	3570	1847
659	3573	1841
660	3577	1834
661	3580	1828
662	3584	1821
663	3587	1815
664	3591	1809
665	3594	1802
666	3597	1796
667	3601	1790
668	3605	1783
669	3608	1777
670	3620	1775
671	3624	1769
672	3629	1763
673	3634	1757
674	3638	1751
675	3643	1746
676	3647	1740
677	3650	1733
678	3654	1727
679	3658	1721
680	3662	1715
681	3665	1709
682	3668	1702
683	3672	1696
684	3675	1690
685	3678	1683
686	3682	1677
687	3685	1671
688	3689	1665
689	3692	1659
690	3695	1652
691	3699	1646
692	3702	1640
693	3706	1634
694	3709	1627
695	3712	1621
696	3716	1615
697	3720	1609
698	3723	1603
699	3726	1597
700	3731	1591
701	3734	1585
702	3737	1579
703	3741	1572
704	3744	1567
705	3748	1560
706	3751	1554
707	3754	1548
708	3758	1542
709	3761	1536
710	3765	1530
711	3768	1524
712	3773	1519
713	3777	1513
714	3780	1507
715	3783	1500
716	3787	1494
717	3790	1488
718	3794	1482
719	3797	1476
720	3801	1470
721	3804	1464
722	3808	1459
723	3812	1453
724	3815	1447
725	3819	1441
726	3822	1435
727	3826	1429
728	3830	1423
729	3833	1417
730	3837	1412
731	3840	1406
732	3844	1400
733	3847	1394
734	3850	1388
735	3854	1382
736	3858	1376
737	3862	1371
738	3867	1365
739	3872	1360
740	3876	1354
741	3881	1349
742	3886	1344
743	3890	1338
744	3893	1332
745	3897	1327
746	3901	1321
747	3905	1315
748	3909	1310
749	3913	1304
750	3917	1298
751	3921	1293
752	3926	1287
753	3930	1282
754	3934	1276
755	3938	1271
756	3942	1265
757	3945	1259
758	3949	1254
759	3953	1248
760	3957	1242
761	3961	1237
762	3964	1231
763	3968	1225
764	3972	1220
765	3976	1214
766	3980	1209
767	3984	1203
768	3988	1198
769	3992	1192
770	3997	1187
771	4001	1181
772	4005	1176
773	4008	1170
774	4013	1165
775	4016	1159
776	4020	1153
777	4027	1149
778	4031	1143
779	4035	1138
780	4039	1132
781	4043	1127
782	4048	1121
783	4054	1117
784	4058	1111
785	4062	1106
786	4065	1100
787	4070	1094
788	4073	1089
789	4077	1083
790	4081	1078
791	4085	1072
792	4089	1067
793	4093	1062
794	4097	1056
795	4101	1051
796	4105	1045
797	4108	1040
798	4113	1034
799	4117	1029
800	4121	1023
801	4125	1018
802	4129	1013
803	4133	1007
804	4136	1002
805	4141	996
806	4144	991
807	4148	985
808	4152	980
809	4157	975
810	4160	969
811	4165	964
812	4170	959
813	4174	953
814	4178	948
815	4182	943
816	4186	937
817	4190	932
818	4195	927
819	4199	921
820	4203	916
821	4207	911
822	4211	905
823	4215	900
824	4220	895
825	4223	889
826	4227	884
827	4232	879
828	4238	874
829	4243	869
830	4247	863
831	4250	858
832	4255	853
833	4260	848
834	4264	842
835	4268	837
836	4272	832
837	4276	826
838	4280	821
839	4284	816
840	4288	810
841	4291	805
842	4295	800
843	4299	794
844	4303	789
845	4307	784
846	4311	778
847	4315	773
848	4318	768
849	4322	762
850	4326	757
851	4330	752
852	4334	746
853	4338	741
854	4342	736
855	4346	731
856	4350	725
857	4356	721
858	4364	716
859	4369	711
860	4374	706
861	4379	701
862	4387	696
863	4391	691
864	4396	686
865	4401	680
866	4405	675
867	4411	670
868	4415	665
869	4419	660
870	4423	655
871	4426	649
872	4430	644
873	4434	639
874	4438	634
875	4441	628
876	4444	623
877	4447	618
878	4451	612
879	4460	608
880	4470	603
881	4480	599
882	4485	594
883	4488	589
884	4495	584
885	4499	578
886	4503	573
887	4508	568
888	4513	563
889	4517	558
890	4521	553
891	4524	547
892	4528	542
893	4531	537
894	4537	532
895	4541	527
896	4545	521
897	4549	516
898	4553	511
899	4556	506
900	4560	501
901	4565	496
902	4569	490
903	4572	485
904	4576	480
905	4579	475
906	4583	469
907	4587	464
908	4590	459
909	4594	454
910	4598	449
911	4602	444
912	4605	438
913	4609	433
914	4612	428
915	4616	423
916	4619	418
917	4623	412
918	4626	407
919	4629	402
920	4633	397
921	4636	392
922	4639	387
923	4644	381
924	4647	376
925	4651	371
926	4656	366
927	4659	361
928	4663	356
929	4666	351
930	4669	346
931	4672	340
932	4675	335
933	4679	330
934	4683	325
935	4687	320
936	4690	315
937	4694	310
938	4697	305
939	4700	300
940	4704	294
941	4707	289
942	4711	284
943	4714	279
944	4717	274
945	4722	269
946	4725	264
947	4729	259
948	4732	254
949	4736	249
950	4739	244
951	4742	239
952	4745	234
953	4751	229
954	4755	224
955	4758	219
956	4762	213
957	4766	208
958	4769	203
959	4773	198
960	4777	193
961	4780	188
962	4783	183
963	4787	178
964	4791	173
965	4794	168
966	4798	163
967	4801	158
968	4805	153
969	4809	148
970	4812	143
971	4816	138
972	4820	133
973	4824	128
974	4828	123
975	4831	118
976	4835	113
977	4839	108
978	4842	103
979	4847	98
980	4851	93
981	4854	88
982	4858	84
983	4861	79
984	4866	74
985	4870	69
986	4876	64
987	4880	59
988	4884	54
989	4890	49
990	4894	44
991	4900	39
992	4907	34
993	4914	29
994	4918	24
995	4922	19
996	4926	14
997	4931	9
998	4936	4
999	4940	0
